kod|ad|alis_tarihi|borc_toplami|kullanim_yeri|zimmetli_kisi
253.002.001.002|Dw0200 Pompa||500,03||500,03
253.002.001.008|Bag_DaIgıç Su Pompası||1.091,40||1.091,40
253.002.001.010|Jeneratör Seti||16.000,00||16.000,00
253.002.001.012|Pet Şişe Şişirme Makinası (51t Haymana)||6.080.000,00|160.000,00|5.920.000,00
253.002.001.013|Forklıft 2,5 Ton Lgp_BenzinIi (Komatsu_ Çiftlik)||37.645,00||37.645,00
253.002.001.015|Yüksek Gerilimli Trafo (Hayamana)||1.106,87||1.106,87
253.002.001.016|Paslanmaz Su Deposu||5.000,00||5.000,00
253.002.001.017|Streç Makinası (Haymana)||15.000,00||15.000,00
253.002.001.020|Laser Markıng System||25.806,25||25.806,25
253.002.001.022|Elektrik Seviye Kontrol L1500mm||700,00||700,00
253.002.001.029|Forklift 2,5 Ton Lgp_BenzinIi (Komatsu_Haymana )||39.400,00||39.400,00
253.002.001.031|Kompresör||42.372,89||42.372,89
253.002.001.032|Siemens Sınamıcs Güç Modülü Ve Parçası||10.266,00||10.266,00
253.002.001.035|Ultranonik Ölçüm Cihazı||1.931,00||1.931,00
253.002.001.037|Tunçmatik Güç Kaynağı||853,39||853,39
253.002.001.038|Dalgıç Motor Ve Pompa||14.700,00||14.700,00
253.002.001.041|Su Deposu||287.000,00||287.000,00
253.002.001.042|Soğuk Su Üreticisi||17.463,00||17.463,00
253.002.001.043|Ebara Paslanmaz Çeliksen Pompa||4.956,00||4.956,00
253.002.001.045|Su Arıtma Cihazı||49.442,00||49.442,00
253.002.001.048|Şişirme -Şişe Dolum-EtiketIeme-PaketIeme (Krones||12.158.093,49||12.158.093,49
253.002.001.054|Seğmen Fabrika İskan Ruhsatı Bedeli _(Demirbaş M||12.000,00||12.000,00
253.002.001.055|İnci Fabrika Atalanta Paletleme Paket Çevirme _(De||6.498,48||6.498,48
253.002.001.056|Seğmen Fab Krones Pet Hattı Dolum Ve Paketleme Yed||6.535,20||6.535,20
253.002.001.057|Haymana Fab. Krones 0,5 Pet Hattı Dolum Ve Paletle||32.676,00||32.676,00
253.002.001.058|Tam Otomatik Termoform Bardak Su Dolum Makinesi||5.878.059,00||5.878.059,00
253.002.001.060|Su Hazırlama Ünitesi Ve Transfer Ekipman 20 M3 Pas||235.000,00||235.000,00
253.002.001.061|Su Hazırlama Ünitesi Ve Transfer Ekipman 40 M3 Pas||400.000,00||400.000,00
253.002.001.062|Komprosör Tamir Bakım (Dalgakıran Mak. San.Tic.A.Ş||18.233,31||18.233,31
253.002.001.063.001|Kronoes Makina Retrofit||17.736,44||17.736,44
253.002.001.063.002|Krones Makina Retrofit||38.436,32||38.436,32
253.002.001.063.003|Krones Makina Retrefit||58.675,23||58.675,23
253.002.001.063.004|Krones Makina Retrofit||42.194,69||42.194,69
253.002.001.063.005|Krones Makina Retrofit-5||61.651,64||61.651,64
253.002.001.063.006|Krones Makina Retrofit-6||30.111,48||30.111,48
253.002.001.063.007|Krones Makina Retrofit-7||76.784,27||76.784,27
253.002.001.063.008|Krones Makina Retrofit-8||18.819,68||18.819,68
253.002.001.063.009|Krones Makina Retrofit-9||33.749,95||33.749,95
253.002.001.063.010|Krones Makina Retrofit-10||18.819,68||18.819,68
253.002.001.063.011|Krones Makina Retrofit-ll||412.117,25||412.117,25
253.002.001.063.012|Krones Makina Retrofit-12||1.198.007,24||1.198.007,24
253.002.001.063.013|Krones Makina Retrofit-13||1.115.078,87||1.115.078,87
253.002.001.063.014|Krones Makina Retrofit-14||101.407,45||101.407,45
253.002.001.063.015|Krones Makina Retrofit-15||461.177,79||461.177,79
253.002.001.063.016|Krones Makina Retrofit-16||367.225,40||367.225,40
253.002.001.063.017|Krones Makina Retrofit-17||47.353,13||47.353,13
253.002.001.063.018|Krones Makina Retrofit-18||84.814,84||84.814,84
253.002.001.063.019|Krones Makina Retrofit-19||36.487,92||36.487,92
253.002.001.063.020|Krones Makina Retrofit-20||6.241,79||6.241,79
253.002.001.063.021|Krones Makina Retrofit-21||22.816,94||22.816,94
253.002.001.063.022|Krones Makina Retrofit-22||244.607,55||244.607,55
253.002.001.063.023|Krones Makina Retrofit-23||18.588,32||18.588,32
253.002.001.063.024|Krones Makina Retrofit-24||57.220,46||57.220,46
253.002.001.063.025|Krones Makina Retrofit-25||2.397.338,12||2.397.338,12
253.002.001.063.026|Krones Makina Retrofit-26||52.452,22||52.452,22
253.002.001.063.027|Krones Makina Retrofit-27||305.771,83||305.771,83
253.002.001.063.028|Krones Makina Retrofit-28||33.942 90||33.942 90
253.002.001.063.029|Krones Makina Retrofit-29||197.172,67||197.172,67
253.002.001.063.030|Krones Makina Retrofit-30||3.936,07||3.936,07
253.002.001.063.031|Krones Makina Retrofit-31||1.390.216,02||1.390.216,02
253.002.001.063.032|Krones Makina Retrofit-32||32.439,97||32.439,97
253.002.001.063.033|Krones Makina Retrofit-33||116.730,40||116.730,40
253.002.001.063.034|Krones Makina Retrofit-34||78.194,00||78.194,00
253.002.001.063.035|Krones Makina Retrofit-35||26.742,80||26.742,80
253.002.001.063.036|Krones Makina Retrofit-36||105.249,00||105.249,00
253.002.001.063.037|Krones Makina Retrofit-37||56.834,46||56.834,46
253.002.001.063.038|Krones Makina Retrofit-38||44.973,53||44.973,53
253.002.023.003|Temos Tankı Bakım Onarım (Alfa Makineve Kimya San.||17.430,33||17.430,33
253.002.023.005|Azot Ve Gaz Tankları Bakım Onarım (Ali Demir)||29.898,95||29.898,95
253.002.023.014|Krones Şişirme Kalıp Keçe Takımı (Samet Yılmaz)||29.166,67||29.166,67
253.002.023.015|11 KW Lowara Pompa Motor Sarımı Grundfos 18.5 KW (||8.500,00||8.500,00
253.002.024.001|Konveyor Konvektör Seti (Krones Makina)||477.233,23||477.233,23
253.002.024.002|Şişirme Makinası Sensörü (Kim Elektronik)||14.619,60||14.619,60
253.002.024.003|Ozonloma Tankı Pompa Değişimi (Khrome Makina)||15.115,00||15.115,00
253.002.024.004|Control Card 12 Mb Kontrolser Otomasyon||14.823,14||14.823,14
253.002.024.005|Paletleme Makinası Otomasyon (Khrome Makina)||45.000,00||45.000,00
253.002.024.007|Antifrogen Korozyon Don Önleyici (Botes Mühendisli||20.526,91||20.526,91
253.002.024.008|Power Controller (Krones Makina)||92.576,58||92.576,58
253.002.024.009|1 Adet 2.EI Linde Marka Forklift (Gimsa Perakende)||311.000,00||311.000,00
