kod|ad|tutar|alis_tarihi|kullanim_yeri
253.000.001|TD480 ÇİM BİÇME MAKİNESİ (Alpina Marka)|52.104,51|1.12.2000|Güzelcekele
253.001.001|DW0200 POMPA|5500,03|1.12.2001|Haymana
253.001.002|4 TON SU DEPOSU|5424,00|1.12.2001|Bağiçi
253.002.002|KODLAMA MAKİNASI (videojet)|57.068,03|1.06.2002|Güzelcekele
253.003.002|İLETKENLE ÖLÇME CİHAZI (Hanma_P19812/5)|51.170,00|1.02.2003|Güzelcekele
253.004.001|TARİH ATMA MAKİNASI (INKJET)-Bağiçi|57.520,29|26.01.2004|Bağiçi
253.004.002|YIKAMA ÜNİTESİ (Ersey)_ Doldurma Kapaklama Ünitesi)12 ve 30 birleştir|52.500,00|19.04.2004|Güzelcekele
253.004.003|DOLDURMA KAPAKLAMA ÜNİTESİ (Pet Grubu)|52.500,00|19.04.2004|Hurda
253.004.004|ASİT DOSA POMPASI (Diversey)|5340,23|27.04.2004|Güzelcekele
253.005.001|ASSY DİJİTAL|51.465,00|3.05.2005|Güzelcekele
253.006.001|ELEKTRİKLİ VAKUM POMPASI|5802,66|1.12.2006|Güzelcekele
253.006.002|BAG DALGIÇ SU POMPASI|51.091,40|10.12.2006|Bağiçi
253.006.004|15 KW KUMANDA PANOSU|51.200,00|10.12.2006|Hurda
253.006.005|30 KVA VOLTAJ REGULATORU|53.250,00|10.12.2006|Bağiçi
253.006.006|SU SONDAJ KUYUSU MUŞTEMILATI|513.192,41|18.12.2006|Bağiçi
253.007.001|OZON JENARATÖRÜ (SAFİR OZON)|511.100,00|8.03.2007|Güzelcekele
253.007.002|OZON JENERATÖRÜ GÖSTERME ciH. (DELTA)|51.107,90|6.04.2007|Güzelcekele
253.007.003|35 KVAJENERATÖR (TÜRKOJEN)|58.250,00|14.04.2007|Güzelcekele
253.007.004|JENERATOR SETİ|516.000,00|26.06.2007|Haymana
253.007.005|SU ANALİZ FOTOMETRESİ (Spectro fotometresi HACH DR3SOO)|55.931,98|21.07.2007|Güzelcekele
253.007.006|DOLUM Makinesi) 12 ve 30 birleştir||16.11.2007|Güzelcekele
253.008.002|PASLANMAZ ÇELİK SU TANKI|57.992,00|8.07.2008|Haymana
253.008.003|PASLANMAZ ÇELİK SU TANKI|512.500,00|26.12.2008|Haymana
253.009.002|MERCK NOVA 60 SU VE ATIK SU ANALİZ|57.500,00|1.07.2009|Bağiçi
253.009.003|PH METRE CİHAZI|5460,00|8.07.2009|Haymana
253.009.004|YIKAMA-DOLUM-KAPATMA MAKİNASI (Damacana)|5474.290,oo|13.07.2009|Güzelcekele
253.009.005|PET şişE ŞİŞİRME MAKİNASI (ELT Haymana)||13.07.2009|Hurda
253.009.006|FORKLIFT TON LGP BENZİNLİ (KOMATSU Çiftlik)|537.645,00|14.07.2009|Çiftlik
253.009.007|KONVEYOR BANT|5472,00|22.07.2009|Güzelcekele
253.009.008|TAM OTOMATİK SHRINK MAKİNASI|580.000,00|28.07.2009|Hurda
253.009.009|STREÇ MAKİNASI|515.500,00|12.08.2009|Bağiçi
253.009.011|DOLUM HATTI KONVEYÖRÜ (40 ile birleşecek)|530.885,00|11.09.2009|Güzelcekele
253.009.012|YUKLEME RAMPASI-SEKSIYONEL KAPI|518.605,00|14.09.2009|Güzelcekele
253.009.013|OZON DEZENFEKSİYON SİSTEMİ (Güzelcekale) 149 ile birleştir|557.237,00|12.10.2009|Güzelcekele
253.009.014|ELEKTRONİK TERAZİ|5400,00|14.10.2009|Bağiçi
253.009.015|KOLİ BANT. MAKİNASI STARTAPE|59.945,95|4.11.2009|Bağiçi
253.009.016|SU BORU HATTI|53.054,45|25.11.2009|Güzelcekele
253.009.017|EBARA POMPA|53.114,90|26.11. 2009|Güzelcekele
253.009.018|YÜKSEK GERİLİMLİ TRAFO (Hayamana)|51.106,87|14.12.2009|Haymana
253.009.019|SU DEPOSU (beton 4 adet)||31.12. 2009|Bağiçi
253.010.001|PASLANMAZ SU DEPOSU|55.000,00|16.01.2010|Haymana
253.010.002|STREÇ MAKİNASI (Haymana)|515.000,00|3.02.2010|Haymana
253.010.003|DOLUM KAPATMA MAKİNASI (Haymana)|5423.ooo,oo|10.02.2010|Hurda
253.010.004|INVERTOR|51.103,84|13.02.2010|Hurda
253.010.005|KOMRESOR VE PARÇALARI||15.02. 2010|Güzelcekele
253.010.006|DAMACANA ON YIKAMA MAKİNASI|540.000,00|16.02. 2010|Güzelcekele
253.010.007|LASER MARKING SYSTEM|525.806,25|17.02. 2010|Haymana
253.010.008|HAVALI KONVEYOR MAKAS SİSTEMİ|52.680,00|23.02.2010|Hurda
253.010.009|FORKLİFT (HİSTERİ|536.002,10|25.02. 2010|Bağiçi
253.010.010|DONERLI KONVEYOR|52.320,00|25.02. 2010|Güzelcekele
253.010.011|ELEKTRİK SEVİYE KONTROL L1500MM|5700,00|12.05. 2010|Haymana
253.010.012|DAMACANA KONVEJORLERI SETİ|522.000,00|29.07.2010|Güzelcekele
253.010.013|PREFORM DİZGİ UNITESI||8.11.2010|Bağiçi
253.011.001|TESİS MAKİNA VE CİHAZLAR||1.01.2011|Hurda
253.011.002|ERSEY MARKA PALET DİZER||25.01.2011|Hurda
253.011.003|MACRO MARKA BM 1519/2 PET ŞİŞİRME MAKİNESİ||25.01.2011|Bağiçi
253.011.004|PREFORUM TAŞIYICISI|533.276,00|1.02.2011|Bağiçi
253.011.006|ŞİŞİRME KALIBI-KALIP PLAKASI|532.450,00|29.04.2011|Hurda
253.011.008|5 LT.KOMPLE KAPATMA KAFASI (55 ve 73 birleşecek)||11.05.2011|Bağiçi
253.011.009|KAPATMA KAFASI-SANTRIFUJ|512.271,00|30.05.2011|Hurda
253.011.010|P.KARBONAT şiE YIKAMA DOL.KAP. (ERSEY)|559.322,03|1.10.2011|Güzelcekele
253.011.011|AOY 25 SOGUTMA GRUBU|511.800,00|13.12.2011|Bağiçi
253.012.001|FORKLİFT TON LGP BENZİNLİ (KOMATSU_Haymana )|539.400,00|2.01.2012|Haymana
253.012.002|PET ŞİŞİRME MAKİNASI 19LT||18.01.2012|Hurda
253.012.003|KOMPRESOR|542.372,89|26.04.2012|Haymana
253.012.004|SİEMENS SINAMICS GÜÇ MODULU VE PARÇASI|510.266,00|28.05.2012|Haymana
253.012.005|SERVO MOTOR|55.989,00|4.06.2012|Bağiçi
253.012.006|SARTOPURE SİSTEMLERİ|529.744,00|18.06.2012|Güzelcekele
253.012.008|HIZ KONTROL CİHAZI DELTA|51.475,00|25.06.2012|Güzelcekele
253.012.010|ULTRANONIK OLÇUM CİHAZI|51.931,00|8.07.2012|Haymana
253.012.011|8 TON OZAN TEMAS TANKI (105 ile birleşecek)|511.870,00|18.07.2012|Bağiçi
253.012.012|VALF ADASI (4adet)|54.248,00|25.07.2012|Güzelcekele
253.012.013|BOGE BASINÇ KOMPRESORU|515.516,90|27.07.2012|Bağiçi
253.012.014|VIDOJET TECHNOLOGİES LTD.ŞTI.|58.324,65|7.11.2012|Bağiçi
253.012.015|STREC FİLM SARMA MAKİNASI|56.780,00|20.12.2012|Bağiçi
253.013.002|TUNÇMATIK GÜÇ KAYNAGI|5853,39|6.05.2013|Haymana
253.013.005|FORKLİFT DİZEL 2,5 (KOMATSU)|561.804,60|18.12.2013|Bağiçi
253.014.002|SU DEPOSU||27.01.2014|Haymana
253.014.003|DAMACANA MAKİNESİ|534.926,00|27.01. 2014|Güzelcekele
253.014.004|SOĞUK SU ÜRETİCİSİ (ciller)|517.463,00|27.01. 2014|Haymana
253.014.005|FORKLİFT 1,8 BENZİNLİ (KOMATSU _GüzeIcekaIe)|568.264,00|27.01. 2014|Güzelcekele
253.014.006|FIRÇALI Diş YIKAMA MAKİNESİ|547.626,00|27.01. 2014|Güzelcekele
253.014.007|BARDAK MAKİNESİ||6.02.2014|Hurda
253.014.008|TRANSPALET|55.100,00|6.02. 2014|Güzelcekele
253.014.009|OZON DEZENFEKSİYON SİSTEMİ|548.520,00|3.04.2014|Güzelcekele
253.014.010|OZON TEMAS TANKI|539.509,00|3.04.2014|Güzelcekele
253.014.011|ANI SU ISITICI|549.442,00|18.04.2014|Bağiçi
253.014.012|INKJET PRİNTER|513.434,00|26.05.2014|Bağiçi
253.014.013|EBARA PASLANMAZ ÇELIKSAN POMPA|54.956,00|27.05.2014|Haymana
253.014.014|230 KVA JENARATOR (Alimar)|564.900,00|28.05.2014|Bağiçi
253.014.015|DAMACANA DOLUM MAKİNESİ|541.300,00|30.05.2014|Güzelcekele
253.014.016|OZON TEMAS SİSTEMİ (Paslanmaz çelik su Tankı)|546.070,00|7.07.2014|Güzelcekele
253.014.017|POMPA-KOLLEKTOR-VANA-BORU||7.07.2014|Güzelcekele
253.014.019|SU ARITMA CİHAZI|549.442,00|8.07.2014|Haymana
253.014.020|ULTRAFİLİTRESYON||10.07.2014|Güzelcekele
253.014.022|SOGUTMALI INKUBATOR-STRILIZATOR|519.280,00|24.09.2014|Güzelcekele
253.015.001|KULP TAKMA MAKİNASI-KODLAMA-ETIKETLEME 52.710.312,71||12.06.2015|Bağiçi
253.015.002|ŞİŞİRME -şışE DOLUM-ETIKETLEME-PAKETLEME (Krones_Haymana) 512.158.093,49||12.06.2015|Haymana
253.015.002|Atlanta-Cosme Kronas- 5'Iik Pet Hattı 510.832.208,71||12.05.2015|Bağiçi
253.015.004|INFORM PYRAMID DSP|550.740,00|1.09.2015|Bağiçi
253.015.005|NON MİCRO TERS OZMOZ CİHAZI||15.09.2015|Bağiçi
253.015.006|JUMBO HOUSNIG-FILTRE JUMBO-FILTRE HOUSING-MEMBRAN|592.773,00|16.11.2015|Bağiçi
253.015.007|INPORT UPS|550.445,00|21.12.2015|Bağiçi
253.017.001|RAMPALAMA EMNİYET BARİYERİ Demirbaş Mahiyetinde değil)|54.560,00|13.01.2017|Bağiçi
253.017.002|KUYU BACASI-YÜKLEME RAMPASI (Demirbaş Mahiyetinde değil)|52.900,00|15.01. 2017|Güzelcekele
253.017.003|YÜKLEME ALANI SONDURMA (Demirbaş Mahiyetinde değil)|54.000,00|19.01. 2017|Güzelcekele
253.017.004|YÜKLEME ALANI SUNDURMANA TRAPEZ SAC (Demirbaş Mahiyetinde değil)|54.400,00|20.01. 2017|Güzelcekele
253.018.001|HİDROFOR SETİ (Fatura yak)|590.825,00|21.12.2018|Bağiçi
253.018.002|SU HAZIRLAMA UNITESI VE TRANSFER EKİPMAN 20 MB PASLANMAZ DEPO||27.12.2018|Haymana
253.018.003|SU HAZIRLAMA UNITESI VE TRANSFER EKİPMAN 40m3 PASLANMAZ DEPO OZON JENERATO|5400.ooo,oo|28.12.2018|Bağiçi
253.021.003|TRAPEZ SAC GÜÇLÜ BORU PROFİL (Demirbaş Mahiyetinde|55.657,60|4.03.2021|Güzelcekele
253.021.004|SEĞMEN FABRİKA İSKAN RUHSATI BEDELİ (Demirbaş Mahiyetinde|512.000,00|11.03.2021|Haymana
253.022.001|İNCİ FABRİKA ATALANTA PALETLEME PAKET ÇEVİRME (Demirbaş Mahiyetinde değil)|56.498,48|15.03.2022|Bağiçi
