Sıra No;İrsaliye No;Nakliye Tarihi;Çıkış Yeri;Sevk Yeri;Birim Fiyat;Birim Fiyat %40;Motorin Baz Fiyatı;Günlük Motorin Fiyatı;Motorin Fiyat Farkı;Motorin Fiyat Farkı %;Zam / İndirim;KDV Hariç Toplam;KDV Tutarı;KDV Tevkifat;Toplam Fiyat;;;
;;1.02.2026;BAĞİÇİ;ÇİFTLİK;₺0,00;₺0,00;₺54,766;₺55,436;₺2,55;0,00%;₺0,00;₺0,00;;;;;;
;;1.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺55,436;₺2,55;0,00%;₺0,00;₺7.920,00;;;;;;
;;1.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺55,436;₺2,55;0,00%;₺0,00;₺5.445,00;;;;;;
;;1.02.2026;BEYPAZARI;ÇİFTLİK;₺0,00;₺0,00;₺54,766;₺55,436;₺2,55;0,00%;₺0,00;₺0,00;;;;;;
1;SEI2026000000369;2.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,388;₺2,62;4,79%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
2;SEI2026000000362;2.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,388;₺2,62;4,79%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
3;SEI2026000000376;3.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,320;₺2,55;4,66%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
4;SEI2026000000382;3.02.2026;GÜZELCEKALE;ÇİFTLİK;₺5.445,00;₺2.178,00;₺54,766;₺57,320;₺2,55;4,66%;₺0,00;₺5.445,00;₺1.089,00;₺217,80;₺6.316,20;;;
5;SEI2026000000387;3.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,320;₺2,55;4,66%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
6;SEI2026000000377;3.02.2026;BÜYÜKYAĞCI;ÇİFTLİK;₺7.920,00;₺3.168,00;₺54,766;₺57,320;₺2,55;4,66%;₺0,00;₺7.920,00;₺1.584,00;₺316,80;₺9.187,20;;;
